Source,Chart Type,Song Chart or Album Chart?,Chart Name,URL,URL 2 (shazam: 20160228; radio callouts - most recent Thursday: m%2Fd%2Fyyyy),URL 3,Login Username,Login Password,Note,Chart Name 2
Shazam Mobile Proxy URL,Shazam,Song,Omaha,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5074472,,,,
Shazam Mobile Proxy URL,Shazam,Song,Miami,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4164138,,,,
Shazam Mobile Proxy URL,Shazam,Song,Honolulu,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5856195,,,,
Shazam Mobile Proxy URL,Shazam,Song,Minneapolis,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5037649,,,,
Shazam Mobile Proxy URL,Shazam,Song,Colorado Springs,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5417598,,,,
Shazam Mobile Proxy URL,Shazam,Song,Wichita,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4281730,,,,
Shazam Mobile Proxy URL,Shazam,Song,Tampa,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4174757,,,,
Shazam Mobile Proxy URL,Shazam,Song,Saint Louis,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4407066,,,,
Shazam Mobile Proxy URL,Shazam,Song,Pittsburgh,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5206379,,,,
Shazam Mobile Proxy URL,Shazam,Song,Toledo,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5174035,,,,
Shazam Mobile Proxy URL,Shazam,Song,Cincinnati,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4508722,,,,
Shazam Mobile Proxy URL,Shazam,Song,Bakersfield,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5325738,,,,
Shazam Mobile Proxy URL,Shazam,Song,Buffalo,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5110629,,,,
Shazam Mobile Proxy URL,Shazam,Song,Corpus Christi,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4683416,,,,
Shazam Mobile Proxy URL,Shazam,Song,Raleigh,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4487042,,,,
Shazam Mobile Proxy URL,Shazam,Song,Lexington Fayette,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4297999,,,,
Shazam Mobile Proxy URL,Shazam,Song,Louisville,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4299276,,,,
Shazam Mobile Proxy URL,Shazam,Song,Lincoln,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5072006,,,,
Shazam Mobile Proxy URL,Shazam,Song,Norfolk,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4776222,,,,
Shazam Mobile Proxy URL,Shazam,Song,Greensboro,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4469146,,,,
Shazam Mobile Proxy URL,Shazam,Song,Birmingham,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4049979,,,,
Shazam Mobile Proxy URL,Shazam,Song,Lexington,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4297983,,,,
Shazam Mobile Proxy URL,Shazam,Song,Madison,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5261457,,,,
Shazam Mobile Proxy URL,Shazam,Song,Baton Rouge,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4315588,,,,
Shazam Mobile Proxy URL,Shazam,Song,Orlando,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4167147,,,,
Shazam Mobile Proxy URL,Shazam,Song,Reno,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5511077,,,,
Shazam Mobile Proxy URL,Shazam,Song,Shreveport,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4341513,,,,
Shazam Mobile Proxy URL,Shazam,Song,Spokane,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5811696,,,,
Shazam Mobile Proxy URL,Shazam,Song,Tacoma,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5812944,,,,
Shazam Mobile Proxy URL,Shazam,Song,Richmond,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4781708,,,,
Shazam Mobile Proxy URL,Shazam,Song,Mobile,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4076598,,,,
Shazam Mobile Proxy URL,Shazam,Song,Arlington,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4744709,,,,
Shazam Mobile Proxy URL,Shazam,Song,Little Rock,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4119403,,,,
Shazam Mobile Proxy URL,Shazam,Song,Salt Lake City,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5780993,,,,
Shazam Mobile Proxy URL,Shazam,Song,Providence,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5224151,,,,
Shazam Mobile Proxy URL,Shazam,Song,Knoxville,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4634946,,,,
Shazam Mobile Proxy URL,Shazam,Song,Fort Lauderdale,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4155966,,,,
Shazam Mobile Proxy URL,Shazam,Song,Dayton,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4509884,,,,
Shazam Mobile Proxy URL,Shazam,Song,Tempe,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5317058,,,,
Shazam Mobile Proxy URL,Shazam,Song,Kansas City,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4273837,,,,
Shazam Mobile Proxy URL,Shazam,Song,Eugene,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5725846,,,,
Shazam Mobile Proxy URL,Shazam,Song,"Hollywood, FL",https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4158928,,,,
Shazam Mobile Proxy URL,Shazam,Song,Pasadena,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5381396,,,,
Shazam Mobile Proxy URL,Shazam,Song,Syracuse,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5140405,,,,
Shazam Mobile Proxy URL,Shazam,Song,Savannah,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4221552,,,,
Shazam Mobile Proxy URL,Shazam,Song,Topeka,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4280539,,,,
Shazam Mobile Proxy URL,Shazam,Song,Burbank,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5331835,,,,
Shazam Mobile Proxy URL,Shazam,Song,Green Bay,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5254962,,,,
Shazam Mobile Proxy URL,Shazam,Song,Boulder,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5574991,,,,
Shazam Mobile Proxy URL,Shazam,Song,Miami Beach,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4164143,,,,
Shazam Mobile Proxy URL,Shazam,Song,Santa Barbara,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5392952,,,,
Shazam Mobile Proxy URL,Shazam,Song,Jackson,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4431410,,,,
Shazam Mobile Proxy URL,Shazam,Song,Chattanooga,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4612862,,,,
Shazam Mobile Proxy URL,Shazam,Song,Hartford,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4835797,,,,
Shazam Mobile Proxy URL,Shazam,Song,Stamford,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4843564,,,,
Shazam Mobile Proxy URL,Shazam,Song,Columbia,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4575352,,,,
Shazam Mobile Proxy URL,Shazam,Song,Allentown,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5178127,,,,
Shazam Mobile Proxy URL,Shazam,Song,Albany,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/5106834,,,,
Shazam Mobile Proxy URL,Shazam,Song,Greenville,https://cdn.shazam.com/shazam/v2/en/US/-/-/chart/geo-city/1month/-/-/,+todayformattednodash+,/4469160,,,,
